table,gender,issue_age,duration,q_sel
t3289,Male,6,13,8e-4
t3289,Male,6,14,8.4e-4
t3289,Male,6,15,8.7e-4
t3289,Male,6,16,9e-4
t3289,Male,6,17,0.00093000000000000005
t3289,Male,6,18,9.6e-4
t3289,Male,6,19,0.001
t3289,Male,6,20,0.00101
t3289,Male,6,21,0.00101
t3289,Male,6,22,0.001
t3289,Male,6,23,9.8e-4
t3289,Male,6,24,9.8e-4
t3289,Male,6,25,0.001
t3289,Male,7,1,9e-5
t3289,Male,7,2,9e-5
t3289,Male,7,3,9e-5
t3289,Male,7,4,1e-4
t3289,Male,7,5,1.1e-4
t3289,Male,7,6,1.4e-4
t3289,Male,7,7,2e-4
t3289,Male,7,8,2.9e-4
t3289,Male,7,9,4.2e-4
t3289,Male,7,10,5.9e-4
t3289,Male,7,11,7.8e-4
t3289,Male,7,12,8e-4
t3289,Male,7,13,8.4e-4
t3289,Male,7,14,8.7e-4
t3289,Male,7,15,9e-4
t3289,Male,7,16,0.00093000000000000005
t3289,Male,7,17,9.6e-4
t3289,Male,7,18,0.001
t3289,Male,7,19,0.00101
t3289,Male,7,20,0.00101
t3289,Male,7,21,0.001
t3289,Male,7,22,9.8e-4
t3289,Male,7,23,9.8e-4
t3289,Male,7,24,0.001
t3289,Male,7,25,0.00105
t3289,Male,8,1,9e-5
t3289,Male,8,2,9e-5
t3289,Male,8,3,1e-4
t3289,Male,8,4,1.1e-4
t3289,Male,8,5,1.4e-4
t3289,Male,8,6,2e-4
t3289,Male,8,7,2.9e-4
t3289,Male,8,8,4.2e-4
t3289,Male,8,9,5.9e-4
t3289,Male,8,10,7.8e-4
t3289,Male,8,11,8e-4
t3289,Male,8,12,8.4e-4
t3289,Male,8,13,8.7e-4
t3289,Male,8,14,9e-4
t3289,Male,8,15,0.00093000000000000005
t3289,Male,8,16,9.6e-4
t3289,Male,8,17,0.001
t3289,Male,8,18,0.00101
t3289,Male,8,19,0.00101
t3289,Male,8,20,0.001
t3289,Male,8,21,9.8e-4
t3289,Male,8,22,9.8e-4
t3289,Male,8,23,0.001
t3289,Male,8,24,0.00105
t3289,Male,8,25,0.00113
t3289,Male,9,1,9e-5
t3289,Male,9,2,1e-4
t3289,Male,9,3,1.1e-4
t3289,Male,9,4,1.4e-4
t3289,Male,9,5,2e-4
t3289,Male,9,6,2.9e-4
t3289,Male,9,7,4.2e-4
t3289,Male,9,8,5.9e-4
t3289,Male,9,9,7.8e-4
t3289,Male,9,10,8e-4
t3289,Male,9,11,8.4e-4
t3289,Male,9,12,8.7e-4
t3289,Male,9,13,9e-4
t3289,Male,9,14,0.00093000000000000005
t3289,Male,9,15,9.6e-4
t3289,Male,9,16,0.001
t3289,Male,9,17,0.00101
t3289,Male,9,18,0.00101
t3289,Male,9,19,0.001
t3289,Male,9,20,9.8e-4
t3289,Male,9,21,9.8e-4
t3289,Male,9,22,0.001
t3289,Male,9,23,0.00105
t3289,Male,9,24,0.00113
t3289,Male,9,25,0.00121
t3289,Male,10,1,1e-4
t3289,Male,10,2,1.1e-4
t3289,Male,10,3,1.4e-4
t3289,Male,10,4,2e-4
t3289,Male,10,5,2.9e-4
t3289,Male,10,6,4.2e-4
t3289,Male,10,7,5.9e-4
t3289,Male,10,8,7.8e-4
t3289,Male,10,9,8e-4
t3289,Male,10,10,8.4e-4
t3289,Male,10,11,8.7e-4
t3289,Male,10,12,9e-4
t3289,Male,10,13,0.00093000000000000005
t3289,Male,10,14,9.6e-4
t3289,Male,10,15,0.001
t3289,Male,10,16,0.00101
t3289,Male,10,17,0.00101
t3289,Male,10,18,0.001
t3289,Male,10,19,9.8e-4
t3289,Male,10,20,9.8e-4
t3289,Male,10,21,0.001
t3289,Male,10,22,0.00105
t3289,Male,10,23,0.00113
t3289,Male,10,24,0.00121
t3289,Male,10,25,0.0013
t3289,Male,11,1,1.1e-4
t3289,Male,11,2,1.4e-4
t3289,Male,11,3,2e-4
t3289,Male,11,4,2.9e-4
t3289,Male,11,5,4.2e-4
t3289,Male,11,6,5.9e-4
t3289,Male,11,7,7.8e-4
t3289,Male,11,8,8e-4
t3289,Male,11,9,8.4e-4
t3289,Male,11,10,8.7e-4
t3289,Male,11,11,9e-4
t3289,Male,11,12,0.00093000000000000005
t3289,Male,11,13,9.6e-4
t3289,Male,11,14,0.001
t3289,Male,11,15,0.00101
t3289,Male,11,16,0.00101
t3289,Male,11,17,0.001
t3289,Male,11,18,9.8e-4
t3289,Male,11,19,9.8e-4
t3289,Male,11,20,0.001
t3289,Male,11,21,0.00105
t3289,Male,11,22,0.00113
t3289,Male,11,23,0.00121
t3289,Male,11,24,0.0013
t3289,Male,11,25,0.00141
t3289,Male,12,1,1.4e-4
t3289,Male,12,2,2e-4
t3289,Male,12,3,2.9e-4
t3289,Male,12,4,4.2e-4
t3289,Male,12,5,5.9e-4
t3289,Male,12,6,7.8e-4
t3289,Male,12,7,8e-4
t3289,Male,12,8,8.4e-4
t3289,Male,12,9,8.7e-4
t3289,Male,12,10,9e-4
t3289,Male,12,11,0.00093000000000000005
t3289,Male,12,12,9.6e-4
t3289,Male,12,13,0.001
t3289,Male,12,14,0.00101
t3289,Male,12,15,0.00101
t3289,Male,12,16,0.001
t3289,Male,12,17,9.8e-4
t3289,Male,12,18,9.8e-4
t3289,Male,12,19,0.001
t3289,Male,12,20,0.00105
t3289,Male,12,21,0.00113
t3289,Male,12,22,0.00121
t3289,Male,12,23,0.0013
t3289,Male,12,24,0.00141
t3289,Male,12,25,0.00154
t3289,Male,13,1,2e-4
t3289,Male,13,2,2.9e-4
t3289,Male,13,3,4.2e-4
t3289,Male,13,4,5.9e-4
t3289,Male,13,5,7.8e-4
t3289,Male,13,6,8e-4
t3289,Male,13,7,8.4e-4
t3289,Male,13,8,8.7e-4
t3289,Male,13,9,9e-4
t3289,Male,13,10,0.00093000000000000005
t3289,Male,13,11,9.6e-4
t3289,Male,13,12,0.001
t3289,Male,13,13,0.00101
t3289,Male,13,14,0.00101
t3289,Male,13,15,0.001
t3289,Male,13,16,9.8e-4
t3289,Male,13,17,9.8e-4
t3289,Male,13,18,0.001
t3289,Male,13,19,0.00105
t3289,Male,13,20,0.00113
t3289,Male,13,21,0.00121
t3289,Male,13,22,0.0013
t3289,Male,13,23,0.00141
t3289,Male,13,24,0.00154
t3289,Male,13,25,0.00169
t3289,Male,14,1,2.9e-4
t3289,Male,14,2,4.2e-4
t3289,Male,14,3,5.9e-4
t3289,Male,14,4,7.8e-4
t3289,Male,14,5,8e-4
t3289,Male,14,6,8.4e-4
t3289,Male,14,7,8.7e-4
t3289,Male,14,8,9e-4
t3289,Male,14,9,0.00093000000000000005
t3289,Male,14,10,9.6e-4
t3289,Male,14,11,0.001
t3289,Male,14,12,0.00101
t3289,Male,14,13,0.00101
t3289,Male,14,14,0.001
t3289,Male,14,15,9.8e-4
t3289,Male,14,16,9.8e-4
t3289,Male,14,17,0.001
t3289,Male,14,18,0.00105
t3289,Male,14,19,0.00113
t3289,Male,14,20,0.00121
t3289,Male,14,21,0.0013
t3289,Male,14,22,0.00141
t3289,Male,14,23,0.00154
t3289,Male,14,24,0.00169
t3289,Male,14,25,0.00183
t3289,Male,15,1,4.2e-4
t3289,Male,15,2,5.9e-4
t3289,Male,15,3,7.8e-4
t3289,Male,15,4,8e-4
t3289,Male,15,5,8.4e-4
t3289,Male,15,6,8.7e-4
t3289,Male,15,7,9e-4
t3289,Male,15,8,0.00093000000000000005
t3289,Male,15,9,9.6e-4
t3289,Male,15,10,0.001
t3289,Male,15,11,0.00101
t3289,Male,15,12,0.00101
t3289,Male,15,13,0.001
t3289,Male,15,14,9.8e-4
t3289,Male,15,15,9.8e-4
t3289,Male,15,16,0.001
t3289,Male,15,17,0.00105
t3289,Male,15,18,0.00113
t3289,Male,15,19,0.00121
t3289,Male,15,20,0.0013
t3289,Male,15,21,0.00141
t3289,Male,15,22,0.00154
t3289,Male,15,23,0.00169
t3289,Male,15,24,0.00183
t3289,Male,15,25,0.00198
t3289,Male,16,1,5.9e-4
t3289,Male,16,2,7.8e-4
t3289,Male,16,3,8e-4
t3289,Male,16,4,8.4e-4
t3289,Male,16,5,8.7e-4
t3289,Male,16,6,9e-4
t3289,Male,16,7,0.00093000000000000005
t3289,Male,16,8,9.6e-4
t3289,Male,16,9,0.001
t3289,Male,16,10,0.00101
t3289,Male,16,11,0.00101
t3289,Male,16,12,0.001
t3289,Male,16,13,9.8e-4
t3289,Male,16,14,9.8e-4
t3289,Male,16,15,0.001
t3289,Male,16,16,0.00105
t3289,Male,16,17,0.00113
t3289,Male,16,18,0.00121
t3289,Male,16,19,0.0013
t3289,Male,16,20,0.00141
t3289,Male,16,21,0.00154
t3289,Male,16,22,0.00169
t3289,Male,16,23,0.00183
t3289,Male,16,24,0.00198
t3289,Male,16,25,0.00213
t3289,Male,17,1,7.8e-4
t3289,Male,17,2,8e-4
t3289,Male,17,3,8.4e-4
t3289,Male,17,4,8.7e-4
t3289,Male,17,5,9e-4
